date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:10	29/29	---M--	200	added ('OK')	text/plain	date:Mon,%2004%20Feb%202019%2014:38:06%20GMT	https://biotoxnutrition.com/robots.txt		(from )
16:46:11	14916/14916	---MCZ	200	added ('OK')	text/html	date:Fri,%2016%20Oct%202020%2010:47:35%20GMT	https://biotoxnutrition.com/bio-quick-buy/	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/bio-quick-buy/index.html	(from )
16:46:11	3261/3261	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:32%20GMT	https://biotoxnutrition.com/assets/images/apple-icon-72x72.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/apple-icon-72x72.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2016%20Oct%202020%2010:47:36%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Biotox%20Gold/www.googletagmanager.com/gtm.15445.delayed	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:12	29988/29988	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Sep%202020%2011:38:32%20GMT	https://biotoxnutrition.com/assets/css/main.min.css?v=1.0.6	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/css/main.minc924.css	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:12	3097/3097	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:42%20GMT	https://biotoxnutrition.com/assets/images/logo.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/logo.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:12	30942/30942	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:40%20GMT	https://biotoxnutrition.com/assets/images/img1.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/img1.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:13	24201/24201	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:45%20GMT	https://biotoxnutrition.com/assets/images/tonya.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/tonya.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:13	9961/9961	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:34%20GMT	https://biotoxnutrition.com/assets/images/bottle-1.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bottle-1.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:13	6570/6570	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:35%20GMT	https://biotoxnutrition.com/assets/images/bottle1-sm.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bottle1-sm.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:13	27325/27325	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:34%20GMT	https://biotoxnutrition.com/assets/images/bottle-6.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bottle-6.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:14	10201/10201	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:36%20GMT	https://biotoxnutrition.com/assets/images/bottle6-sm.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bottle6-sm.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:14	19123/19123	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:34%20GMT	https://biotoxnutrition.com/assets/images/bottle-3.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bottle-3.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:14	9095/9095	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Sep%202020%2008:39:36%20GMT	https://biotoxnutrition.com/assets/images/bottle3-sm.png	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/images/bottle3-sm.png	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:14	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f86ff0f-4d7%22	https://biotoxnutrition.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:15	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/Biotox%20Gold/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:15	7972/7972	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Sep%202020%2008:39:46%20GMT	https://biotoxnutrition.com/assets/js/lazyload.min.js	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/js/lazyload.min.js	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:15	1069/1069	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2023%20Sep%202020%2008:39:46%20GMT	https://biotoxnutrition.com/assets/js/app.min.js?v=1.0.1	C:/My%20Web%20Sites/Biotox%20Gold/biotoxnutrition.com/assets/js/app.minf700.js	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:16	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f86ff0f-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/Biotox%20Gold/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://biotoxnutrition.com/bio-quick-buy/)
16:46:16	10217/10217	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2016%20Oct%202020%2010:47:40%20GMT	https://static.cloudflareinsights.com/beacon.min.js	C:/My%20Web%20Sites/Biotox%20Gold/static.cloudflareinsights.com/beacon.min.js	(from https://biotoxnutrition.com/bio-quick-buy/)
